Date Time,Wind Speed (m/s),Wind Direction (Degree),Temperature (C),Relative Humidity (%),Barometric Pressure (mmHG),Rain Volume (mm),PM2.5 (ug/m3)
"2019,11,11,10,00,00",0,13.2,30.1,56,735,0,31
"2019,11,11,11,00,00",0,31.2,31.9,49,734,0,31
"2019,11,11,12,00,00",0,52.2,32.7,45,733,0,30
"2019,11,11,13,00,00",1,335.5,33.4,42,732,0,28
"2019,11,11,14,00,00",0,63.8,33,43,732,0,26
"2019,11,11,15,00,00",1,333.9,33.3,42,731,0,25
"2019,11,11,16,00,00",0,49.5,32.8,44,731,0,25
"2019,11,11,17,00,00",0,82.8,29.3,58,731,0,27
"2019,11,11,18,00,00",1,147.9,27.3,70,732,0,29
"2019,11,11,19,00,00",1,124.6,26.6,71,732,0,35
"2019,11,11,20,00,00",0,87.4,26.2,71,733,0,40
"2019,11,11,21,00,00",0,341.8,25.1,81,733,0,44
"2019,11,11,22,00,00",0,76,23.9,90,734,0,52
"2019,11,11,23,00,00",0,113.8,23.1,95,734,0,55
"2019,11,12,00,00,00",0,37.2,22.5,98,733,0,50
"2019,11,12,01,00,00",0,48.9,22.1,100,733,0,39
"2019,11,12,02,00,00",0,28.3,22,99,733,0,30
"2019,11,12,03,00,00",0,49.1,21.4,100,733,0,26
"2019,11,12,04,00,00",0,151.3,21.1,100,733,0,24
"2019,11,12,05,00,00",0,162.8,20.9,100,734,0,26
"2019,11,12,06,00,00",0,87.8,20.7,100,734,0,28
"2019,11,12,07,00,00",0,137.2,22.7,94,735,0,30
"2019,11,12,08,00,00",0,116.4,25,81,735,0,31
"2019,11,12,09,00,00",0,342.5,28.3,66,736,0,32
"2019,11,12,10,00,00",0,311.9,31,54,735,0,28
"2019,11,12,11,00,00",0,209.6,32.5,49,735,0,26
"2019,11,12,12,00,00",0,94.4,33.7,45,734,0,24
"2019,11,12,13,00,00",1,313.4,33.9,41,733,0,21
"2019,11,12,14,00,00",1,337.5,34.9,39,732,0,22
"2019,11,12,15,00,00",1,307.8,34.7,39,732,0,23
"2019,11,12,16,00,00",0,352.2,33.7,43,732,0,23
"2019,11,12,17,00,00",0,77.8,30.3,55,732,0,24
"2019,11,12,18,00,00",0,96.3,27.5,72,732,0,26
"2019,11,12,19,00,00",0,75.7,26.4,76,733,0,27
"2019,11,12,20,00,00",1,10.3,25.9,77,734,0,28
"2019,11,12,21,00,00",0,21.7,24.8,83,734,0,31
"2019,11,12,22,00,00",0,116.1,23.8,91,734,0,34
"2019,11,12,23,00,00",0,104.8,23.1,95,734,0,34
"2019,11,13,00,00,00",0,48.7,22.6,97,734,0,33
"2019,11,13,01,00,00",0,113.2,22.2,100,734,0,32
"2019,11,13,02,00,00",0,57.2,21.9,100,734,0,31
"2019,11,13,03,00,00",0,29.5,21.5,100,734,0,30
"2019,11,13,04,00,00",1,16.2,21.7,98,734,0,27
"2019,11,13,05,00,00",1,10.9,21.4,98,735,0,26
"2019,11,13,06,00,00",0,129.8,21,100,735,0,26
"2019,11,13,07,00,00",0,247.6,22.9,90,736,0,27
"2019,11,13,08,00,00",0,355.9,26.2,72,736,0,29
"2019,11,13,09,00,00",1,349.3,29.2,61,737,0,28
"2019,11,13,10,00,00",1,350.8,31.2,55,736,0,26
"2019,11,13,11,00,00",1,329.6,33.7,48,736,0,26
"2019,11,13,12,00,00",0,82.7,34.1,46,735,0,24
"2019,11,13,13,00,00",1,44.6,34.6,43,734,0,22
"2019,11,13,14,00,00",1,40,35.1,38,734,0,24
"2019,11,13,15,00,00",1,77.1,34.6,37,733,0,23
"2019,11,13,16,00,00",1,87.4,32.5,46,733,0,22
"2019,11,13,17,00,00",1,86.5,31,53,734,0,22
"2019,11,13,18,00,00",0,60.2,29.6,58,734,0,23
"2019,11,13,19,00,00",0,72.9,28.9,60,735,0,25
"2019,11,13,20,00,00",0,119.4,28.5,61,736,0,26
"2019,11,13,21,00,00",1,159.9,28,59,736,0,27
"2019,11,13,22,00,00",1,313.8,27.9,61,736,0,26
"2019,11,13,23,00,00",1,280.1,27.4,64,737,0,24
"2019,11,14,00,00,00",0,322,25.5,83,737,1,23
"2019,11,14,01,00,00",0,229.2,23.8,97,737,0.6,20
"2019,11,14,02,00,00",1,292.4,24,99,736,0,19
"2019,11,14,03,00,00",0,83,23.7,100,736,0,18
"2019,11,14,04,00,00",1,322.3,24,100,736,0,18
"2019,11,14,05,00,00",0,333.1,23.8,99,737,0,20
"2019,11,14,06,00,00",0,128,23.5,100,737,0,22
"2019,11,14,07,00,00",0,78.5,25.2,93,738,0,23
"2019,11,14,08,00,00",1,353.4,27.7,75,738,0,24
"2019,11,14,09,00,00",1,12.6,30.7,59,739,0,22
"2019,11,14,10,00,00",1,31.3,30.2,57,738,0,18
"2019,11,14,11,00,00",1,56.7,31.2,49,737,0,13
"2019,11,14,12,00,00",1,68.6,31.6,48,736,0,11
"2019,11,14,13,00,00",2,44,31.7,47,735,0,9
"2019,11,14,14,00,00",1,68.7,31.8,46,735,0,10
"2019,11,14,15,00,00",1,56.4,31.5,47,735,0,10
"2019,11,14,16,00,00",1,57.1,30.6,50,735,0,11
"2019,11,14,17,00,00",1,36.7,29.1,55,735,0,12
"2019,11,14,18,00,00",1,33.1,28.1,58,735,0,14
"2019,11,14,19,00,00",1,13.7,27.6,63,736,0,16
"2019,11,14,20,00,00",1,23.5,26.9,67,736,0,19
"2019,11,14,21,00,00",1,26.9,26.2,74,737,0,22
"2019,11,14,22,00,00",1,14.6,25.8,77,737,0,23
"2019,11,14,23,00,00",0,46.9,24.6,82,736,0,23
"2019,11,15,00,00,00",0,173.8,24.4,84,736,0,21
"2019,11,15,01,00,00",0,137.7,23.8,91,736,0,20
"2019,11,15,02,00,00",0,131.6,23.5,93,736,0,21
"2019,11,15,03,00,00",0,69.2,22.8,96,735,0,21
"2019,11,15,04,00,00",0,49.1,22,99,735,0,20
"2019,11,15,05,00,00",0,33.3,21.7,99,735,0,19
"2019,11,15,06,00,00",0,50.2,21.3,99,736,0,17
"2019,11,15,07,00,00",1,43.3,23,90,737,0,15
"2019,11,15,08,00,00",1,41.3,26.6,72,737,0,15
"2019,11,15,09,00,00",1,343.2,29.5,59,737,0,14
"2019,11,15,10,00,00",1,338.6,30.1,54,737,0,15
"2019,11,15,11,00,00",1,324.4,30.7,51,736,0,15
"2019,11,15,12,00,00",0,96,32.2,45,735,0,14
"2019,11,15,13,00,00",0,21.3,32.7,41,735,0,12
"2019,11,15,14,00,00",0,160.6,32.9,41,734,0,12
"2019,11,15,15,00,00",1,127.4,33.6,40,734,0,13
"2019,11,15,16,00,00",1,150,31.9,44,733,0,13
"2019,11,15,17,00,00",0,159,29.1,55,733,0,14
"2019,11,15,19,00,00",0,85.9,25.3,72,734,0,10
"2019,11,15,20,00,00",0,15.5,24.5,76,735,0,15
"2019,11,15,21,00,00",0,3.9,24,80,735,0,17
"2019,11,15,22,00,00",0,58.7,22.9,89,735,0,20
"2019,11,15,23,00,00",0,74.3,22.3,92,735,0,22
"2019,11,16,00,00,00",0,159.9,21.7,94,735,0,21
"2019,11,16,01,00,00",0,165.1,21.3,97,735,0,20
"2019,11,16,02,00,00",0,211.9,21.2,99,735,0,22
"2019,11,16,03,00,00",0,25.7,20.8,100,734,0,26
"2019,11,16,04,00,00",1,39.1,20.5,100,734,0,26
"2019,11,16,05,00,00",1,9.5,20.4,99,735,0,22
"2019,11,16,06,00,00",0,83.4,19.9,100,735,0,19
"2019,11,16,07,00,00",0,175.5,21.9,92,736,0,19
"2019,11,16,08,00,00",0,277.7,25.3,74,736,0,20
"2019,11,16,09,00,00",0,264.7,28.3,63,736,0,23
"2019,11,16,10,00,00",0,274.3,30.3,54,736,0,24
"2019,11,16,11,00,00",0,230.8,32,46,735,0,22
"2019,11,16,12,00,00",1,161.6,33.5,40,734,0,20
"2019,11,16,13,00,00",0,168.1,34.3,38,733,0,16
"2019,11,16,16,00,00",0,122,33.8,37,732,0,11
"2019,11,16,17,00,00",0,120.7,29.7,51,732,0,10
"2019,11,16,18,00,00",1,125,27.1,66,733,0,13
"2019,11,16,19,00,00",1,151.7,26.6,64,733,0,17
"2019,11,16,20,00,00",0,284.9,25.4,72,734,0,19
"2019,11,16,21,00,00",0,81.8,24.1,82,734,0,21
"2019,11,16,22,00,00",0,86.3,23.5,85,734,0,23
"2019,11,16,23,00,00",0,56.8,22.9,88,734,0,25
"2019,11,17,00,00,00",0,24.1,22.7,88,734,0,25
"2019,11,17,01,00,00",0,32.5,22.4,90,734,0,23
"2019,11,17,02,00,00",0,47.6,22,92,734,0,22
"2019,11,17,03,00,00",1,10.1,21.8,93,734,0,20
"2019,11,17,04,00,00",0,14.2,21.5,94,734,0,19
"2019,11,17,05,00,00",0,36.5,21.1,95,734,0,18
"2019,11,17,06,00,00",0,92.2,20.5,100,735,0,19
"2019,11,17,07,00,00",0,160.5,21.9,95,735,0,21
"2019,11,17,08,00,00",0,110.6,25.7,75,736,0,23
"2019,11,17,09,00,00",0,352.7,29.2,60,736,0,22
"2019,11,17,10,00,00",0,166.7,30.9,54,735,0,22
"2019,11,17,11,00,00",1,267.9,33,47,735,0,21
"2019,11,17,12,00,00",1,292.6,34.9,38,734,0,20
"2019,11,17,13,00,00",0,274.9,35.6,32,733,0,18
"2019,11,17,14,00,00",1,293.6,35.2,34,732,0,16
"2019,11,17,15,00,00",1,319.7,35.7,30,732,0,17
"2019,11,17,16,00,00",1,350,34.5,31,732,0,15
"2019,11,17,17,00,00",1,13.5,31.4,40,732,0,15
"2019,11,17,18,00,00",0,101,27.3,58,733,0,19
"2019,11,17,19,00,00",0,54.3,25.6,63,733,0,19
"2019,11,17,20,00,00",0,47.5,24.8,69,734,0,21
"2019,11,17,21,00,00",0,6.4,23.8,73,734,0,27
"2019,11,17,22,00,00",1,0.3,23.6,73,734,0,27
"2019,11,17,23,00,00",0,25.2,22.4,78,734,0,26
"2019,11,18,00,00,00",0,57.3,21.4,81,734,0,24
"2019,11,18,01,00,00",0,92.7,21.4,85,734,0,21
"2019,11,18,02,00,00",0,232.5,21.3,87,734,0,21
"2019,11,18,03,00,00",1,21.6,21.4,83,734,0,21
"2019,11,18,04,00,00",0,30.8,20.5,88,734,0,19
"2019,11,18,05,00,00",0,39.4,19.8,93,734,0,18
"2019,11,18,06,00,00",1,25.6,20.1,91,735,0,19
"2019,11,18,07,00,00",1,8.2,22,81,736,0,22
"2019,11,18,08,00,00",1,39.2,25.7,66,737,0,25
"2019,11,18,09,00,00",1,11.7,28.4,56,737,0,25
"2019,11,18,10,00,00",1,17.6,30.7,49,736,0,24
"2019,11,18,11,00,00",1,356.4,32.8,42,736,0,20
"2019,11,18,12,00,00",1,317.9,34.1,39,735,0,16
"2019,11,18,13,00,00",1,3.9,35.4,32,734,0,14
"2019,11,18,14,00,00",0,5.7,35.5,30,734,0,13
"2019,11,18,15,00,00",0,172.8,34.9,31,733,0,14
"2019,11,18,16,00,00",0,131.4,33.3,36,733,0,16
"2019,11,18,17,00,00",0,47.1,30,47,733,0,17
"2019,11,18,18,00,00",0,92.5,27.3,62,734,0,20
"2019,11,18,19,00,00",0,23.7,26.4,65,734,0,21
"2019,11,18,20,00,00",1,8.8,26,67,735,0,24
"2019,11,18,21,00,00",1,12.9,25,73,735,0,27
"2019,11,18,22,00,00",0,119.3,23.4,78,735,0,28
"2019,11,18,23,00,00",0,129.6,22.4,85,735,0,26
"2019,11,19,00,00,00",0,149.2,21.7,89,735,0,26
"2019,11,19,01,00,00",0,142.7,21,93,735,0,28
"2019,11,19,02,00,00",0,86.9,20.8,94,734,0,23
"2019,11,19,03,00,00",0,59.6,20.9,91,734,0,22
"2019,11,19,04,00,00",0,148.3,20.4,96,735,0,20
"2019,11,19,05,00,00",0,86,20,98,735,0,23
"2019,11,19,06,00,00",0,68.8,19.9,98,736,0,24
"2019,11,19,07,00,00",0,52.1,21.5,90,736,0,26
"2019,11,19,08,00,00",1,358.4,24.9,67,737,0,26
"2019,11,19,09,00,00",1,355.1,27.4,57,737,0,24
"2019,11,19,10,00,00",1,331.6,29.2,50,737,0,23
"2019,11,19,11,00,00",1,320.5,32.7,42,736,0,19
"2019,11,19,12,00,00",0,195.3,33.7,39,735,0,17
"2019,11,19,13,00,00",0,153.3,33.9,38,734,0,17
"2019,11,19,14,00,00",1,84.9,34.5,36,734,0,19
"2019,11,19,15,00,00",1,2.7,34.5,35,734,0,20
"2019,11,19,16,00,00",0,93.6,32.9,37,733,0,21
"2019,11,19,17,00,00",0,23.7,30,48,734,0,21
"2019,11,19,18,00,00",0,114.8,26.9,65,734,0,24
"2019,11,19,19,00,00",0,54.7,25.5,68,735,0,27
"2019,11,19,20,00,00",0,41.5,24.7,72,735,0,30
"2019,11,19,21,00,00",1,12.7,24.3,72,735,0,31
"2019,11,19,22,00,00",0,17.2,23.5,78,736,0,31
"2019,11,19,23,00,00",1,23.7,23.1,77,735,0,30
"2019,11,20,00,00,00",0,145.3,22.3,85,735,0,28
"2019,11,20,01,00,00",0,129.5,21.5,92,735,0,26
"2019,11,20,02,00,00",0,172.9,21.1,93,735,0,29
"2019,11,20,03,00,00",0,77,20.6,96,735,0,29
"2019,11,20,04,00,00",0,78.6,20.9,95,735,0,27
"2019,11,20,05,00,00",0,143.6,20.4,95,736,0,24
"2019,11,20,06,00,00",0,140.9,19.9,99,736,0,25
"2019,11,20,07,00,00",0,66.6,21.7,90,737,0,27
"2019,11,20,08,00,00",0,47.4,25.7,67,737,0,27
"2019,11,20,09,00,00",0,348.9,28.3,57,738,0,25
"2019,11,20,10,00,00",1,318.1,29.9,51,737,0,23
"2019,11,20,11,00,00",1,325,31.5,45,736,0,20
"2019,11,20,12,00,00",0,186.8,31.9,43,735,0,19
"2019,11,20,13,00,00",1,187.6,32.1,43,734,0,18
"2019,11,20,14,00,00",1,180.9,33.1,39,734,0,17
"2019,11,20,15,00,00",0,89.2,33.1,39,734,0,18
"2019,11,20,16,00,00",0,133.8,31.9,40,734,0,19
"2019,11,20,17,00,00",0,111.3,29,52,734,0,18
"2019,11,20,18,00,00",0,120.2,27.1,58,734,0,24
"2019,11,20,19,00,00",0,121,25.4,64,735,0,24
"2019,11,20,20,00,00",1,19.7,24.5,69,736,0,23
"2019,11,20,21,00,00",0,82.4,23.5,72,736,0,25
"2019,11,20,22,00,00",0,36.4,22.3,79,736,0,24
"2019,11,20,23,00,00",1,18.7,21.8,81,736,0,24
"2019,11,21,00,00,00",0,63.2,21.2,86,736,0,23
"2019,11,21,01,00,00",0,146.4,20.1,93,736,0,23
"2019,11,21,02,00,00",0,125.8,19.6,96,736,0,22
"2019,11,21,03,00,00",0,41.4,19.5,97,736,0,22
"2019,11,21,04,00,00",0,67.3,19,97,736,0,21
"2019,11,21,05,00,00",0,157.2,18.6,99,736,0,21
"2019,11,21,06,00,00",0,161,18.5,100,737,0,22
"2019,11,21,07,00,00",0,135.6,20.6,91,737,0,27
"2019,11,21,08,00,00",0,231.9,23.8,74,738,0,30
"2019,11,21,09,00,00",1,0.9,27.1,59,738,0,29
"2019,11,21,10,00,00",1,345.1,28.9,52,738,0,27
"2019,11,21,11,00,00",1,308.2,31.5,43,737,0,23
"2019,11,21,12,00,00",1,7.2,33,37,736,0,19
"2019,11,21,13,00,00",1,327.8,32.7,35,735,0,15
"2019,11,21,14,00,00",1,40.7,32.6,35,735,0,16
"2019,11,21,15,00,00",0,88.1,33.5,33,734,0,15
"2019,11,21,16,00,00",1,6.5,32.3,34,734,0,16
"2019,11,21,17,00,00",0,67.8,28.7,46,735,0,16
"2019,11,21,18,00,00",1,117.4,26,60,735,0,20
"2019,11,21,19,00,00",0,82.4,24.5,63,735,0,24
"2019,11,21,20,00,00",0,13.7,23.8,70,736,0,25
"2019,11,21,21,00,00",0,267.6,22.5,79,736,0,29
"2019,11,21,22,00,00",0,78,21.5,85,736,0,29
"2019,11,21,23,00,00",0,59.4,20.8,89,736,0,31
"2019,11,22,00,00,00",0,47.2,20.3,88,736,0,32
"2019,11,22,01,00,00",0,25.2,19.9,88,736,0,28
"2019,11,22,02,00,00",0,42.8,19.3,91,736,0,26
"2019,11,22,03,00,00",0,142.9,18.8,94,736,0,23
"2019,11,22,04,00,00",0,173.5,18.3,99,736,0,22
"2019,11,22,05,00,00",0,169.8,18.1,100,737,0,26
"2019,11,22,06,00,00",0,129.5,17.8,100,737,0,25
"2019,11,22,07,00,00",0,91.3,19.5,93,738,0,32
"2019,11,22,08,00,00",0,353.9,23.6,71,738,0,33
"2019,11,22,09,00,00",0,264.2,26.5,59,738,0,30
"2019,11,22,10,00,00",0,216,28.4,53,738,0,27
"2019,11,22,11,00,00",1,280.6,31.3,43,737,0,25
"2019,11,22,12,00,00",1,274.6,32.7,34,736,0,23
"2019,11,22,13,00,00",1,288.7,33,31,735,0,18
"2019,11,22,14,00,00",0,205.1,33.5,32,734,0,17
"2019,11,22,15,00,00",1,296,33.3,31,734,0,19
"2019,11,22,16,00,00",0,166.4,31.6,36,734,0,20
"2019,11,22,17,00,00",0,96.4,27.8,50,734,0,21
"2019,11,22,18,00,00",1,122.7,25.6,61,734,0,28
"2019,11,22,19,00,00",1,143.1,24.5,61,735,0,31
"2019,11,22,20,00,00",0,329.8,23.6,67,735,0,35
"2019,11,22,21,00,00",0,119.2,22.1,79,736,0,38
"2019,11,22,22,00,00",0,91.5,21.1,85,736,0,38
"2019,11,22,23,00,00",0,74.8,20.5,86,736,0,37
"2019,11,23,00,00,00",0,56.2,20,88,736,0,36
"2019,11,23,01,00,00",0,124.2,19.4,91,736,0,33
"2019,11,23,02,00,00",0,67.8,19.3,92,735,0,30
"2019,11,23,03,00,00",0,62.9,19,93,735,0,28
"2019,11,23,04,00,00",0,53,18.4,97,735,0,26
"2019,11,23,05,00,00",0,23.8,18.2,98,736,0,25
"2019,11,23,06,00,00",0,78.8,18.1,98,736,0,26
"2019,11,23,07,00,00",0,136.7,19.9,88,737,0,29
"2019,11,23,08,00,00",0,168.6,23.2,71,737,0,29
"2019,11,23,09,00,00",0,277.8,26.4,58,738,0,30
"2019,11,23,10,00,00",0,256.9,29,47,737,0,30
"2019,11,23,11,00,00",0,196.6,31.4,39,737,0,25
"2019,11,23,12,00,00",0,228.2,33.1,32,736,0,21
"2019,11,23,13,00,00",0,146.6,33.5,30,735,0,16
"2019,11,23,14,00,00",1,148.4,34.1,29,734,0,16
"2019,11,23,15,00,00",0,66.6,34.3,28,733,0,18
"2019,11,23,16,00,00",0,39.2,33.1,29,733,0,18
"2019,11,23,17,00,00",0,114.5,28.4,45,733,0,17
"2019,11,23,18,00,00",1,135.6,26.9,50,734,0,23
"2019,11,23,19,00,00",1,150.6,26,52,734,0,31
"2019,11,23,20,00,00",0,314.3,24.5,60,735,0,32
"2019,11,23,21,00,00",0,69.2,23,71,735,0,35
"2019,11,23,22,00,00",0,78,22.1,77,735,0,36
"2019,11,23,23,00,00",0,71.7,21.1,82,735,0,36
"2019,11,24,00,00,00",0,60.8,20.4,88,735,0,33
"2019,11,24,01,00,00",0,170.6,19.9,90,735,0,31
"2019,11,24,02,00,00",0,142.6,20,91,734,0,30
"2019,11,24,03,00,00",0,150,20.2,87,734,0,33
"2019,11,24,04,00,00",0,144.5,20.1,90,734,0,32
"2019,11,24,05,00,00",0,119.2,19.9,93,735,0,34
"2019,11,24,06,00,00",0,64.5,19.8,93,735,0,31
"2019,11,24,07,00,00",0,117.9,21.4,84,736,0,30
"2019,11,24,08,00,00",0,212,24.2,72,737,0,33
"2019,11,24,09,00,00",0,323.8,27.8,58,737,0,33
"2019,11,24,10,00,00",1,307.6,30.1,48,737,0,35
"2019,11,24,11,00,00",0,215.9,32.1,39,736,0,31
"2019,11,24,12,00,00",1,273.8,33.6,34,735,0,28
"2019,11,24,13,00,00",1,169.9,33.9,32,734,0,24
"2019,11,24,14,00,00",1,45.6,33.7,32,734,0,23
"2019,11,24,15,00,00",1,46.9,33.5,32,734,0,24
"2019,11,24,16,00,00",1,52.7,32.6,34,733,0,24
"2019,11,24,17,00,00",0,95.1,29.7,44,734,0,25
"2019,11,24,18,00,00",1,134.3,27.1,52,734,0,27
"2019,11,24,19,00,00",0,5.8,26,55,735,0,28
"2019,11,24,20,00,00",1,358.6,25.1,64,736,0,34
"2019,11,24,21,00,00",0,31.4,23.7,73,736,0,43
"2019,11,24,22,00,00",0,92.8,22,83,736,0,48
"2019,11,24,23,00,00",0,95.2,20.9,86,736,0,45
"2019,11,25,00,00,00",0,138.1,20.2,91,736,0,43
"2019,11,25,01,00,00",0,103.7,19.8,91,736,0,37
"2019,11,25,02,00,00",0,35.9,19.8,90,736,0,34
"2019,11,25,03,00,00",0,25.2,20,87,736,0,31
"2019,11,25,04,00,00",0,158.9,19.6,92,736,0,29
"2019,11,25,05,00,00",0,137.1,18.9,96,736,0,30
"2019,11,25,06,00,00",0,125.1,18.8,97,737,0,32
"2019,11,25,07,00,00",0,127,20.4,89,738,0,37
"2019,11,25,08,00,00",0,16.5,24.1,69,738,0,41
"2019,11,25,09,00,00",1,341.3,26.8,56,739,0,32
"2019,11,25,10,00,00",0,350.5,28.8,49,738,0,27
"2019,11,25,11,00,00",1,315.3,31.8,41,738,0,26
"2019,11,25,12,00,00",1,39.3,33,35,737,0,24
"2019,11,25,13,00,00",1,39.8,33.8,29,736,0,25
"2019,11,25,14,00,00",1,56.6,34.5,26,735,0,22
"2019,11,25,15,00,00",1,23.7,33.6,28,735,0,19
"2019,11,25,16,00,00",1,68.8,32.3,32,734,0,19
"2019,11,25,17,00,00",1,65.9,29.4,40,735,0,21
"2019,11,25,18,00,00",1,91.5,26.9,47,735,0,24
"2019,11,25,19,00,00",1,31.4,24.9,55,736,0,22
"2019,11,25,20,00,00",1,28.2,23.7,63,737,0,29
"2019,11,25,21,00,00",1,353.6,23.1,68,737,0,36
"2019,11,25,22,00,00",1,8,22.1,74,737,0,38
"2019,11,25,23,00,00",1,20.6,21.2,78,737,0,37
"2019,11,26,00,00,00",1,0.9,20.7,78,737,0,33
"2019,11,26,01,00,00",0,128.5,19.1,87,737,0,27
"2019,11,26,02,00,00",0,149.5,18.2,93,737,0,28
"2019,11,26,03,00,00",0,178.4,17.8,96,737,0,30
